question,correct,related,other1,other2
ביישנית,shy,outgoing,wobble,bamboozle
תערוכה,exhibition,sale,gobbler,hodgepodge
מאמר,article,novel,flibbertigibbet,bumfuzzle
שקט,quiet,loud,snicker,gobbledygook
מאמץ,effort,relaxation,dinglehopper,flapdoodle
פסול,invalid,valid,pancake,whiskers
התעקש,insisted,declined,marshmallow,unicorn
מבטו,his gaze,his glance,sneeze,toaster
הסב,the grandfather,the grandson,pickle,jellybean
דו-קרב,duel,brawl,flibbertigibbet,gobbledygook
מרק,soup,broth,gobbledygook,flibbertigibbet
מרעיש,noisy,loud,bamboozle,kerfuffle
תרמיל,backpack,satchel,hullabaloo,whatchamacallit
מימייה,water,bottle,flask,thingamajig,dinglehopper
כריך,sandwich,sub,guffaw,snickerdoodle
טקס,ceremony,rite,fandango,mumbo,jumbo
תפקיד,role,position,quokka,flummox
קבוצה,group,team,hodgepodge,doodad
כרזה,poster,placard,gizmo,brouhaha
חינוכית,educational,instructive,flapdoodle,whimsy
נסיון,experience,trial,dillydally,bamboozlement